name,category,address,area,phone,instagram,website,contact_method,priority,status,notes,why_good_fit,risk,next_action,source_url,last_contacted_at
"Bistretto",bistro,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","https://www.bistretto.cz/",walkin,high,new,"menu navrženo šéfkuchařem Janem Horákem (Michelin sous chef); brunch So 8–14, Ne 9–14","chef-driven brunch = silná chef card; jasná identita; menu na webu","domácí brunch může být cílen jen na víkend, ne na denní traffic","obejít So nebo Ne 14:30 po brunch špičce","https://www.bistretto.cz/",
"Dolicafe",cafe,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","https://dolicafe.cz/",walkin,high,new,"speciality kavárna, snídaně/obědy/zákusky, industriální prostředí, So brunch","etablovaná značka, brand-conscious owner, vlastní web","kavárny mívají méně času na schůzku v dopolední špičce","obejít út–st 14:30–15:30","https://dolicafe.cz/",
"Bistro 149",bistro,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,high,new,"moderní design, espresso/dezerty/obědy, středomořské obědové menu","modern bistro = aktivní s denním menu = silný hook pro hunger","ověřit owner-operated; webovou stránku jsem nedohledal","obejít út obědová pauza","https://www.tripadvisor.com/Restaurants-g274702-Liberec_Liberec_Region_Bohemia.html",
"Ánanda — vegetariánská restaurace",restaurant,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","https://www.anandaline.cz/",walkin,high,new,"vegetariánská restaurace v centru Liberce, založeno 2003, salátový bar + teplá kuchyně, takeaway/delivery","anchor pro vegan/vegetarian dietu, 20+ let stabilita, salátový bar = krásné jídlo do profilu","staromilský koncept může mít méně zájem o moderní kanály","navštívit obědová pauza, mluvit s provozním","https://www.anandaline.cz/",
"Mikyna",cafe,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","https://mikynapoint.cz/",walkin,high,new,"café/bistro hybrid, vegetariánské bistro pozice, snídaně + oběd + dezerty","fits dvě situace najednou (kavárna + bistro); široký mix jídel","menu může být příliš široké pro 3 hero jídla","obejít út 14:30","https://mikynapoint.cz/",
"Liberecká Výšina",restaurant,"ověřit ručně",lidove_sady_jested,"ověřit ručně","ověřit ručně","https://www.libereckavysina.com/",walkin,high,new,"výletní restaurace, ~1 km nad Lidovými sady směrem k Liberecké výšině, menu odkazující na česko-rakousko-uherskou tradici","tourist hypotéza — přístupné z Lidových sad pěšky, autentická česká kuchyně","cesta cca 1 km do kopce může omezit walk-in pro zakladatele","obejít So nebo Ne odpoledne s walk-in plánem","https://www.libereckavysina.com/",
"PHO & NEM 305",restaurant,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,high,new,"6 druhů Pho + desítky asijských pokrmů, dle libereckezpravy.cz jeden z podniků fenoménu Pho v Liberci","čistý craving case (chci pho/ramen), specifický produkt = jasné chef story","ověřit owner-operated; mohou být menší prostory pro klidný rozhovor","obejít mimo špičku 14:30–16:00","https://www.libereckezpravy.cz/fenomen-pho-tradicni-vietnamsky-pokrm-oslnil-liberec-vznika-tu-jeden-podnik-za-druhym-kam-na-legendarni-polevku-vyrazit-gastronomie/",
"U Jirky (okénko naproti lokomotivě)",street_food,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,high,new,"liberecká legenda, naproti parní lokomotivě, hamburgery/cheeseburgery/smažené/hot dogy/hranolky","lokální etablovaný okénkový vendor = ideální P0 street food","provozovatel může být zaneprázdněn; není jasné, jestli má IG nebo digital channel","obejít dopoledne 10–11 mimo špičku","https://liberecky.denik.cz/zpravy_region/liberec-obcerstveni-studenti-legenda-u-jirky-okenko.html",
"Bistro Široká",bistro,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,medium,new,"cozy atmosféra, dobrý výběr jídel a nápojů","akceptovatelný kandidát, ale méně specifický koncept","může to být víc bar než food-first; ověřit menu","obejít a podívat se na menu","https://www.tripadvisor.com/Restaurants-g274702-Liberec_Liberec_Region_Bohemia.html",
"Restaurace Nakraji",restaurant,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","https://www.nakraji.cz/",walkin,medium,new,"prezentuje se jako 'jedinečný gastronomický zážitek'","má vlastní web a brand identitu","silně se prezentuje jako 'gastronomický zážitek' — možná premium segment, ne sousedský","obejít a ověřit cenovou hladinu","https://www.nakraji.cz/",
