name,category,address,area,phone,instagram,website,contact_method,priority,status,notes,next_action,last_contacted_at
[Sousedská česká restaurace — centrum Liberec],restaurant,,centrum,,,,walkin,high,new,doplnit ručně — vyhledat owner-operated českou hospodu / restauraci na Pražské nebo Soukenném nám.,najít konkrétní podnik + obejít v úterý poledne,
[Moderní bistro s denním menu — centrum],bistro,,centrum,,,,walkin,high,new,doplnit ručně — bistro s aktivním IG (denní menu na storyline) a polední nabídkou kolem 150 Kč,najít přes IG hashtag #liberec + obědová pauza,
[Asijská kuchyně — ramen / pho / vietnamská],restaurant,,centrum,,,,walkin,high,new,doplnit ručně — Sapa-style vietnamská nebo ramen bar v okolí Pražské / Soukenného,najít přes Google Maps kategorie 'vietnamská' + IG,
[Vegan / saláty / bowls — centrum],cafe,,centrum,,,,instagram_dm,high,new,doplnit ručně — vegan friendly podnik s IG aktivitou (covers diet hypotézu),IG DM s variantou A,
[Kavárna z okénka / kavárna se zákuskem na nohou],cafe,,centrum,,,,walkin,high,new,doplnit ručně — kavárna s rychlým coffee-to-go modelem (covers street food check-in test pro lokalitu bez stánků),osobní zastavení dopoledne,
[Italská kuchyně / pizzerie — owner-operated],restaurant,,centrum,,,,walkin,medium,new,doplnit ručně — ne řetězec; rodinná pizzerie z dřevěné pece,obchůzka víkend,
[Burger / smashed / fast food bistro],bistro,,centrum,,,,instagram_dm,medium,new,doplnit ručně — vyhledat owner-operated burger podnik s IG,IG DM,
[Polévkárna / lehký oběd],bistro,,centrum,,,,walkin,medium,new,doplnit ručně — polévkové bistro / soup bar,obchůzka obědová pauza,
[Brunch / snídaňová kavárna],cafe,,centrum,,,,instagram_dm,medium,new,doplnit ručně — brunch concept s aktivním IG (víkendová klientela),IG DM,
[Indická / orientální kuchyně],restaurant,,centrum,,,,walkin,medium,new,doplnit ručně — indická / kebab / falafel s konkrétním vlastníkem,obchůzka,
[Sushi bar / japonská kuchyně — owner-operated],restaurant,,centrum,,,,instagram_dm,medium,new,doplnit ručně — ne řetězec,IG DM,
[Foodtruck / mobilní vendor — víkendový provoz],street_food,,lidove_sady,,,,instagram_dm,medium,new,doplnit ručně — víkendový stánek na Lidových sadech / u stadionu / u U Jezírka,IG DM před víkendem,
[Mobilní kavárna / coffee bike],street_food,,centrum,,,,instagram_dm,medium,new,doplnit ručně — kávový stánek bez kamenné adresy,IG DM,
[Pekárna s teplým obědem],bistro,,centrum,,,,walkin,medium,new,doplnit ručně — řemeslná pekárna co prodává polední bagety / lasagne / quiche,obchůzka,
[Stánek v Lidových sadech / parkové občerstvení],street_food,,lidove_sady,,,,walkin,medium,new,doplnit ručně — sezónní stánek v parku Lidové sady,obchůzka víkend,
[Restaurace u lanovky / Ještěd corridor — turisticky exponovaná],restaurant,,jested,,,,walkin,medium,new,doplnit ručně — podnik v lokalitě, kam chodí turisti + sportovci,obchůzka víkend,
[Hospůdka / pivnice s kuchyní — autentická],restaurant,,centrum,,,,walkin,medium,new,doplnit ručně — turisty by zaujala autenticita ne turistická past,obchůzka,
[Vinný bar s kuchyní / tapas],restaurant,,centrum,,,,instagram_dm,low,new,doplnit ručně — pokud existuje,IG DM,
[Vegetariánská kuchyně mimo vegan profil],restaurant,,centrum,,,,instagram_dm,low,new,doplnit ručně,IG DM,
[Cukrárna / dezerty / kávovna],cafe,,centrum,,,,walkin,low,new,doplnit ručně,obchůzka,
[Restaurace v Jablonci nad Nisou — centrum],restaurant,,jablonec,,,,walkin,low,new,doplnit ručně — diverzifikace mimo Liberec,obchůzka jiný víkend,
[Bistro / kavárna v Jablonci],bistro,,jablonec,,,,walkin,low,new,doplnit ručně,obchůzka,
[Soukromý kuchař / supper club — domácí koncept],supper_club,,,whatsapp,medium,new,doplnit ručně — najít přes IG (privátní bookable kuchaři jsou často na IG), kontakt přes DM,IG DM,
[Sportovní bistro / fitness friendly poke / bowls],bistro,,centrum,,,,instagram_dm,low,new,doplnit ručně,IG DM,
[Mexická / latinská kuchyně — owner-operated],restaurant,,centrum,,,,walkin,low,new,doplnit ručně,obchůzka,
